,0-0,0-1,1-0,1-1,weather,road,light,scene
dataset/road3d/testing/x0613_1627/gt_image/1623733074172_fillcolor.png,573776.0,4120.0,8400.0,335304.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733074683_fillcolor.png,576092.0,4756.0,9180.0,331572.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733075370_fillcolor.png,578540.0,6740.0,6904.0,329416.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733075921_fillcolor.png,577380.0,5160.0,6792.0,332268.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733076929_fillcolor.png,580940.0,4216.0,6868.0,329576.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733077465_fillcolor.png,572380.0,5640.0,6084.0,337496.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733078164_fillcolor.png,567152.0,6636.0,7612.0,340200.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733078928_fillcolor.png,560196.0,5428.0,7016.0,348960.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733079617_fillcolor.png,561596.0,5596.0,6464.0,347944.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733080576_fillcolor.png,557196.0,4096.0,6792.0,353516.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733081237_fillcolor.png,553472.0,6956.0,5920.0,355252.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733081992_fillcolor.png,537148.0,3380.0,12188.0,368884.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733082519_fillcolor.png,530824.0,3076.0,12324.0,375376.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733083125_fillcolor.png,533952.0,4444.0,4968.0,378236.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733083893_fillcolor.png,528920.0,6280.0,3988.0,382412.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733084618_fillcolor.png,540556.0,6304.0,3580.0,371160.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733085546_fillcolor.png,547376.0,4316.0,3076.0,366832.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733086087_fillcolor.png,554856.0,4932.0,4488.0,357324.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733086655_fillcolor.png,556008.0,6640.0,4632.0,354320.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733087378_fillcolor.png,558148.0,4692.0,2868.0,355892.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733087977_fillcolor.png,569344.0,4012.0,2804.0,345440.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733088543_fillcolor.png,572492.0,6100.0,1440.0,341568.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733091033_fillcolor.png,579412.0,2896.0,4028.0,335264.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733092610_fillcolor.png,596140.0,4216.0,2056.0,319188.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733093236_fillcolor.png,617256.0,3740.0,3252.0,297352.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733093923_fillcolor.png,652308.0,3244.0,7864.0,258184.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733094501_fillcolor.png,699796.0,948.0,12276.0,208580.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733095124_fillcolor.png,750492.0,1220.0,12484.0,157404.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733096417_fillcolor.png,813112.0,180.0,14312.0,93996.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733096993_fillcolor.png,859600.0,16.0,16600.0,45384.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733097577_fillcolor.png,867092.0,0.0,7160.0,47348.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733098222_fillcolor.png,859800.0,428.0,2268.0,59104.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733098898_fillcolor.png,836848.0,1152.0,2788.0,80812.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733099480_fillcolor.png,814336.0,1080.0,2460.0,103724.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733100086_fillcolor.png,790548.0,2152.0,2216.0,126684.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733100757_fillcolor.png,775652.0,1492.0,6780.0,137676.0,rainy,paved,daytime,0613-1627
dataset/road3d/testing/x0613_1627/gt_image/1623733101405_fillcolor.png,772012.0,5432.0,3096.0,141060.0,rainy,paved,daytime,0613-1627
